,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
224,MXRF11,Híbrido,"R$ 10,00",538498.0,"R$ 0,09","0,90%","2,60%","4,87%","9,24%","0,87%","0,81%","0,77%","9,24%","0,30%","1,20%","3,34%","R$ 2.321.102.708,40","R$ 10,27","0,97",N/A,N/A,N/A,N/A,N/A,N/A,0
225,XPPR11,Outros,"R$ 68,09",14884.0,"R$ 0,55","0,81%","2,60%","5,00%","9,17%","0,87%","0,83%","0,76%","9,17%","14,17%","15,10%","-8,25%","R$ 602.678.994,00","R$ 82,38","0,83",N/A,N/A,N/A,N/A,"47,00%",N/A,4
226,SPVJ11,Outros,N/A,N/A,"R$ 0,67","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 680.058.871,43","R$ 107,74",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
227,BPFF11,Títulos e Val. Mob.,"R$ 70,25",2235.0,"R$ 0,60","0,84%","2,72%","4,98%","9,35%","0,91%","0,83%","0,78%","9,35%","17,36%","18,34%","-2,05%","R$ 358.945.822,37","R$ 79,90","0,88",N/A,N/A,N/A,N/A,N/A,N/A,0
228,LASC11,Shoppings,"R$ 91,10",14.0,"R$ 0,58","0,64%","1,76%","3,55%","5,99%","0,59%","0,59%","0,50%","5,99%","-0,01%","0,63%","-3,50%","R$ 283.276.103,44","R$ 112,49","0,81",N/A,N/A,N/A,N/A,"3,30%",N/A,3
229,JPPA11,Títulos e Val. Mob.,"R$ 98,10",615.0,"R$ 1,40","1,42%","3,81%","6,75%","12,57%","1,27%","1,12%","1,05%","12,57%","2,32%","3,77%","12,16%","R$ 63.119.237,69","R$ 104,51","0,94",N/A,N/A,N/A,N/A,N/A,N/A,0
230,HOSI11,Híbrido,"R$ 72,90",16.0,"R$ 0,55","0,75%","2,14%","3,84%","7,92%","0,71%","0,64%","0,66%","7,92%","-1,32%","-0,58%","-7,43%","R$ 52.996.711,07","R$ 92,42","0,79",N/A,N/A,N/A,N/A,N/A,N/A,2
231,HCHG11,Outros,"R$ 88,48",2.0,"R$ 0,80","0,91%","2,52%","0,00%","0,00%","0,84%","0,00%","0,00%","3,71%","-2,22%","-1,33%","-2,73%","R$ 115.467.331,86","R$ 96,22","0,92",N/A,N/A,N/A,N/A,N/A,N/A,0
232,HBRH11,Híbrido,"R$ 88,76",547.0,"R$ 0,93","1,04%","3,36%","5,48%","0,00%","1,12%","0,91%","0,00%","8,21%","9,38%","10,52%","-2,98%","R$ 295.750.933,66","R$ 106,68","0,83","1,20%","-19,02%","-18,05%","4,62%",N/A,N/A,3
233,HABT11,Títulos e Val. Mob.,"R$ 109,62",23237.0,"R$ 1,30","1,18%","3,80%","7,55%","15,31%","1,27%","1,26%","1,28%","15,31%","-0,71%","0,46%","2,36%","R$ 724.348.467,47","R$ 97,59","1,12",N/A,N/A,N/A,N/A,N/A,N/A,0
